Probe Current (mA),Voltage Green Wire Up (mV),Voltage Green Wire Down (mV),Current Uncertainty,Voltage Uncertainty
6.902,1.221,-1.207,0.002,0.001
16.989,2.999,-2.965,0.004,0.001
26.952,4.761,-4.706,0.003,0.001
36.967,6.526,-6.455,0.002,0.001
46.952,8.297,-8.197,0.006,0.001
56.916,10.055,-9.93,0.004,0.001
66.949,11.823,-11.675,0.002,0.001
76.974,13.589,-13.42,0.004,0.001
