Probe Current (mA),Voltage Green Wire Up (mV),Voltage Green Wire Down (mV),Current Uncertainty,Voltage Uncertainty
6.984,0.02531,0.02515,0.005,0.00005
26.956,0.09212,0.09136,0.005,0.00005
46.946,0.15918,0.1577,0.004,0.00006
66.946,0.22605,0.22421,0.005,0.00005
86.952,0.29324,0.29042,0.003,0.00004
106.921,0.36025,0.35702,0.004,0.00006
126.92,0.42778,0.42362,0.005,0.00008
146.96,0.49502,0.49046,0.005,0.00004
