V Adsorbed,Equilibrium Pressure
0.0,0.0
2.5137114272970558,0.2
3.9365528456735053,0.32
5.009995664585191,0.42
6.4696750356824255,0.82
7.156895914362176,1.5
7.288265900981266,1.75
7.390667689562889,1.95
7.803771971454058,3.45
8.030682216770739,4.82
8.129231320249776,5.6
8.187833777876895,6.1
8.204085923282783,6.23
8.21765312221231,6.35
8.238238929527208,6.5
8.262734652096343,6.68
8.292789005352365,6.9
8.314176034790366,7.08
8.378849759143622,7.29
8.44903219000892,7.37
8.508617301516502,7.48
8.53033188224799,7.53
8.5546851382694,7.64
8.601176721677072,7.79
8.655210508474575,8.3
8.758801953612844,9.23
