Pos,Pos_unc,Width,Width_unc
137.494858,0.000158,7.66707,0.000226
290.954668,0.00019,6.249779,0.000272
443.701556,0.000276,3.992905,0.000394
560.357645,0.000254,4.110669,0.000363
715.729111,0.000188,6.351279,0.000269
872.028691,0.00017,8.518348,0.000244
