Pos,Pos_unc,Width,Width_unc
143.083151,0.000411,9.356082,0.000589
294.024709,0.000429,9.393148,0.000615
446.305774,0.000442,4.910503,0.000629
560.178525,0.000469,5.179656,0.000667
712.988996,0.000403,9.02172,0.000577
866.987314,0.000439,10.150513,0.000631
