Theta (deg)	Intensity	Phi_A (deg)	Micrometer (mm)
40.9939	0.9933	6.0739	14.0000
41.7222	1.0402	4.9679	13.0000
42.4504	1.0563	3.8631	12.0000
43.1786	1.0335	2.7592	11.0000
43.9070	0.8304	1.6556	10.0000
44.0891	0.6307	1.3797	9.7500
44.2712	0.3158	1.1038	9.5000
44.3441	0.1885	0.9934	9.4000
44.4170	0.0900	0.8831	9.3000
44.4898	0.0354	0.7727	9.2000
44.5627	0.0299	0.6623	9.1000
44.6356	0.0726	0.5520	9.0000
44.7084	0.1360	0.4416	8.9000
44.7813	0.2202	0.3312	8.8000
44.8542	0.3116	0.2208	8.7000
44.9271	0.3880	0.1104	8.6000
45.0000	0.4517	0.0000	8.5000
45.1823	0.6086	-0.2760	8.2500
45.3645	0.6895	-0.5521	8.0000
46.0940	0.8536	-1.6570	7.0000
46.8240	0.9230	-2.7632	6.0000
47.5548	0.9573	-3.8711	5.0000
48.2864	0.9737	-4.9810	4.0000
49.0190	0.9847	-6.0935	3.0000
