Theta (deg)	Intensity	Phi_A (deg)	Micrometer (mm)
41.0044	0.9200	6.0739	14.0000
41.7308	1.0030	4.9679	13.0000
42.4571	0.9969	3.8631	12.0000
43.1834	0.9788	2.7592	11.0000
43.9098	0.9281	1.6556	10.0000
44.6365	0.8139	0.5520	9.0000
45.3636	0.6095	-0.5521	8.0000
46.0911	0.3533	-1.6570	7.0000
46.4551	0.2519	-2.2099	6.5000
46.8192	0.1873	-2.7632	6.0000
46.8921	0.1796	-2.8739	5.9000
46.9649	0.1707	-2.9846	5.8000
47.0378	0.1689	-3.0954	5.7000
47.1107	0.1658	-3.2061	5.6000
47.1836	0.1660	-3.3169	5.5000
47.2565	0.1652	-3.4277	5.4000
47.3293	0.1673	-3.5385	5.3000
47.4023	0.1689	-3.6493	5.2000
47.4752	0.1735	-3.7602	5.1000
47.5481	0.1783	-3.8711	5.0000
47.9128	0.2128	-4.4257	4.5000
48.2778	0.2587	-4.9810	4.0000
49.0084	0.3543	-6.0935	3.0000
